timestep	cur_time	tot_time
0       	0.047   	0.047   
1       	0.046   	0.093   
2       	0.046   	0.139   
3       	0.047   	0.186   
4       	0.046   	0.232   
5       	0.046   	0.278   
6       	0.046   	0.324   
7       	0.045   	0.369   
8       	0.045   	0.414   
9       	0.046   	0.460   
10      	0.045   	0.505   
11      	0.046   	0.551   
12      	0.046   	0.597   
13      	0.046   	0.643   
14      	0.046   	0.689   
15      	0.046   	0.735   
16      	0.046   	0.781   
17      	0.045   	0.826   
18      	0.046   	0.872   
19      	0.046   	0.918   
20      	0.046   	0.964   
21      	0.045   	1.009   
22      	0.047   	1.056   
23      	0.046   	1.102   
24      	0.046   	1.148   
25      	0.046   	1.194   
26      	0.046   	1.240   
27      	0.046   	1.286   
28      	0.046   	1.332   
29      	0.047   	1.379   
30      	0.046   	1.425   
31      	0.047   	1.472   
32      	0.046   	1.518   
33      	0.047   	1.565   
34      	0.044   	1.609   
35      	0.045   	1.654   
36      	0.046   	1.700   
37      	0.046   	1.746   
38      	0.045   	1.791   
39      	0.045   	1.836   
40      	0.046   	1.882   
41      	0.045   	1.927   
42      	0.046   	1.973   
43      	0.045   	2.018   
44      	0.045   	2.063   
45      	0.046   	2.109   
46      	0.045   	2.154   
47      	0.045   	2.199   
48      	0.110   	2.309   
49      	0.045   	2.354   
50      	0.045   	2.399   
51      	0.045   	2.444   
52      	0.045   	2.489   
53      	0.045   	2.534   
54      	0.045   	2.579   
55      	0.045   	2.624   
56      	0.046   	2.670   
57      	0.045   	2.715   
58      	0.045   	2.760   
59      	0.045   	2.805   
60      	0.045   	2.850   
61      	0.046   	2.896   
62      	0.046   	2.942   
63      	0.046   	2.988   
64      	0.046   	3.034   
65      	0.046   	3.080   
66      	0.046   	3.126   
67      	0.045   	3.171   
68      	0.045   	3.216   
69      	0.046   	3.262   
70      	0.045   	3.307   
71      	0.046   	3.353   
72      	0.045   	3.398   
73      	0.045   	3.443   
74      	0.112   	3.555   
75      	0.045   	3.600   
76      	0.045   	3.645   
77      	0.046   	3.691   
78      	0.044   	3.735   
79      	0.045   	3.780   
80      	0.045   	3.825   
81      	0.044   	3.869   
82      	0.045   	3.914   
83      	0.043   	3.957   
84      	0.045   	4.002   
85      	0.044   	4.046   
86      	0.044   	4.090   
87      	0.044   	4.134   
88      	0.045   	4.179   
89      	0.044   	4.223   
90      	0.045   	4.268   
91      	0.045   	4.313   
92      	0.045   	4.358   
93      	0.045   	4.403   
94      	0.045   	4.448   
95      	0.044   	4.492   
96      	0.045   	4.537   
97      	0.045   	4.582   
98      	0.045   	4.627   
99      	0.045   	4.672   
