timestep	cur_time	tot_time
0       	0.288   	0.288   
1       	0.219   	0.507   
2       	0.220   	0.727   
3       	0.128   	0.855   
4       	0.169   	1.024   
5       	0.132   	1.156   
6       	0.175   	1.331   
7       	0.170   	1.501   
8       	0.165   	1.666   
9       	0.158   	1.824   
10      	0.157   	1.981   
11      	0.151   	2.132   
12      	0.077   	2.209   
13      	0.115   	2.324   
14      	0.130   	2.454   
15      	0.169   	2.623   
16      	0.171   	2.794   
17      	0.139   	2.933   
18      	0.156   	3.089   
19      	0.171   	3.260   
20      	0.108   	3.368   
21      	0.070   	3.438   
22      	0.112   	3.550   
23      	0.161   	3.711   
24      	0.169   	3.880   
25      	0.168   	4.048   
26      	0.169   	4.217   
27      	0.170   	4.387   
28      	0.161   	4.548   
29      	0.072   	4.620   
30      	0.113   	4.733   
31      	0.160   	4.893   
32      	0.159   	5.052   
33      	0.154   	5.206   
34      	0.208   	5.414   
35      	0.237   	5.651   
36      	0.135   	5.786   
37      	0.156   	5.942   
38      	0.116   	6.058   
39      	0.118   	6.176   
40      	0.161   	6.337   
41      	0.154   	6.491   
42      	0.216   	6.707   
43      	0.129   	6.836   
44      	0.172   	7.008   
45      	0.111   	7.119   
46      	0.115   	7.234   
47      	0.145   	7.379   
48      	0.171   	7.550   
49      	0.158   	7.708   
